FID,LAD24CD,LAD24NM,LAD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E06000001,Hartlepool, ,447161,531473,-1.27017,54.67613,96609658.0322266,50746.5009184832,3f58aa35-9ea6-4001-a80f-8aab0e41313f
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,55230925.9235535,35500.2899879195,c5bc1c3e-111f-46db-8e41-362fbbc78d30
3,E06000003,Redcar and Cleveland, ,464330,519596,-1.00656,54.56752,248307582.508606,85068.788855966,29afa1cb-8719-44c2-9906-38bc7bae2981
4,E06000004,Stockton-on-Tees, ,444940,518179,-1.30664,54.55687,205176021.510757,88841.9934713387,8ebb86c0-86bb-466e-ae7e-a832eeb755ff
5,E06000005,Darlington, ,428029,515648,-1.56835,54.53534,198236890.87088,90977.686391216,bf2173db-02e1-4b58-9617-e775100f58ec
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,80380640.6577301,67017.0442134404,ddd614c5-f413-45dd-8a69-ac621d2967d8
7,E06000007,Warrington, ,362744,388457,-2.56167,53.39164,178558338.844109,72259.4892197025,22f7144c-05cf-40ad-8ae3-a8c32204beea
8,E06000008,Blackburn with Darwen, ,369489,422806,-2.46361,53.7008,139459841.099991,55078.4228759584,919d8186-050c-447d-9deb-e4e8946f4750
9,E06000009,Blackpool, ,332817,436635,-3.02202,53.82164,33580097.3350372,29869.587982883,63773c58-2081-460c-b980-97388b32a248
10,E06000010,"Kingston upon Hull, City of", ,511892,431651,-0.30385,53.76921,70864418.9696198,40935.3092171602,fdd41c18-f2c5-4fbd-a240-bd7c4f344c0a
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.88112,2407197673.42442,344813.919435326,83650e5a-03de-4bf7-aa40-a32fcd77b9af
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,190584874.035233,78307.1240046274,f01b6dea-6495-41d6-bacd-7a49b8780de4
