District,Incident Count
Birmingham,2665
Leeds,1901
Westminster,1372
Bradford,1256
Glasgow City,1246
Sheffield,1193
"Edinburgh, City of",1164
Liverpool,1160
Manchester,1126
Barnet,995
Lambeth,987
Kirklees,956
"Bristol, City of",954
Cornwall,881
Croydon,863
Southwark,860
Nottingham,850
Ealing,847
Doncaster,844
Wandsworth,840
Tower Hamlets,823
Leicester,813
Brighton and Hove,769
County Durham,735
East Riding of Yorkshire,732
Hounslow,717
Camden,708
Hackney,706
Wiltshire,705
Lewisham,699
Newcastle upon Tyne,696
Brent,688
Bromley,687
Newham,679
Cardiff,678
Haringey,670
Cheshire East,665
Wakefield,663
Enfield,662
"Kingston upon Hull, City of",661
Stoke-on-Trent,658
Kensington and Chelsea,653
Milton Keynes,653
Coventry,649
Plymouth,643
Rotherham,640
Hillingdon,637
Greenwich,616
Redbridge,614
Islington,613
Sandwell,601
Havering,601
Warrington,585
Peterborough,580
Derby,575
Sunderland,575
Hammersmith and Fulham,572
Cheshire West and Chester,564
Waltham Forest,563
Wirral,552
Swansea,551
Northumberland,546
Medway,544
Gateshead,537
Guildford,530
Bolton,529
Wolverhampton,527
Dudley,523
Southampton,521
Portsmouth,513
North Lanarkshire,511
Sefton,497
South Gloucestershire,489
Barnsley,489
South Lanarkshire,484
Walsall,484
Harrogate,480
Preston,466
Bournemouth,464
North Lincolnshire,463
Swindon,462
Wigan,453
Maidstone,448
Shropshire,448
Fife,445
East Lindsey,443
Wealden,441
Central Bedfordshire,438
Huntingdonshire,432
Luton,430
Epping Forest,429
Carmarthenshire,428
Highland,428
Blackpool,427
"Herefordshire, County of",421
Calderdale,420
New Forest,420
Reigate and Banstead,418
Powys,416
York,416
Merton,415
North Somerset,414
Salford,410
Dartford,407
Barking and Dagenham,405
North East Lincolnshire,403
Aberdeenshire,399
North Tyneside,398
Blackburn with Darwen,394
Thurrock,391
St. Albans,391
Aylesbury Vale,389
South Cambridgeshire,387
Bexley,385
Harrow,385
Stafford,382
Wycombe,381
Stockport,381
Windsor and Maidenhead,379
Cherwell,378
Lancaster,378
Winchester,376
Northampton,375
Richmond upon Thames,374
Southend-on-Sea,373
Bedford,373
Thanet,372
Solihull,371
Slough,368
Oldham,366
Elmbridge,364
Canterbury,361
Chelmsford,359
Basildon,359
Waverley,358
Colchester,357
"Rhondda, Cynon, Taff",357
Oxford,355
Runnymede,355
Tonbridge and Malling,354
South Staffordshire,352
Sutton,352
Stratford-upon-Avon,351
Poole,350
Tandridge,349
Isle of Wight,348
Chichester,346
Mole Valley,343
Rochdale,341
Mid Sussex,339
South Kesteven,339
South Ribble,337
Trafford,336
West Berkshire,333
Bury,333
St. Helens,332
West Lothian,329
Sevenoaks,329
Swale,328
South Somerset,326
Hertsmere,324
Surrey Heath,322
East Staffordshire,320
Newark and Sherwood,317
Basingstoke and Deane,314
Teignbridge,312
Stockton-on-Tees,310
Bath and North East Somerset,309
Horsham,309
Kingston upon Thames,309
Aberdeen City,308
Newcastle-under-Lyme,307
Cambridge,306
Ashford,306
Telford and Wrekin,305
Warwick,303
Bassetlaw,302
Spelthorne,300
North Kesteven,300
Tameside,300
Norwich,298
Dumfries and Galloway,298
South Bucks,298
West Lancashire,297
Arun,297
South Lakeland,296
Pembrokeshire,295
King's Lynn and West Norfolk,293
Braintree,292
Test Valley,291
Reading,291
Torbay,290
Welwyn Hatfield,289
South Oxfordshire,289
Rugby,287
Perth and Kinross,286
South Norfolk,286
Halton,285
Tendring,284
Dacorum,284
Ashfield,283
Dover,282
Charnwood,282
Exeter,279
West Lindsey,279
Renfrewshire,279
Neath Port Talbot,278
City of London,277
Amber Valley,273
Rushcliffe,271
East Devon,271
North Warwickshire,271
Tunbridge Wells,269
Suffolk Coastal,269
Broadland,268
Wokingham,268
Ipswich,267
Wyre,264
Middlesbrough,263
Newport,262
Carlisle,262
Breckland,261
East Hampshire,258
Blaby,257
Mansfield,256
North Hertfordshire,256
Eastleigh,255
Chorley,255
Nuneaton and Bedworth,254
East Hertfordshire,254
Woking,253
Gravesham,251
Sedgemoor,251
Lichfield,251
Lincoln,250
South Holland,249
Knowsley,248
Shepway,247
West Dorset,247
Burnley,247
Allerdale,246
Vale of White Horse,245
Wychavon,244
Scottish Borders,244
