District,Incident Percentage
Birmingham,1.9197798556383177
Leeds,1.3694189514328114
Westminster,0.9883444510077943
Bradford,0.904781800631042
Glasgow City,0.8975781238744256
Sheffield,0.8593986370643576
"Edinburgh, City of",0.8385079744701697
Liverpool,0.8356265037675229
Manchester,0.8111340027950266
Barnet,0.7167658372833494
Lambeth,0.7110028958780562
Kirklees,0.6886714979325448
"Bristol, City of",0.6872307625812215
Cornwall,0.6346439222579204
Croydon,0.6216773040960106
Southwark,0.6195162010690256
Nottingham,0.612312524312409
Ealing,0.6101514212854241
Doncaster,0.6079903182584392
Wandsworth,0.6051088475557925
Tower Hamlets,0.5928625970695444
Leicester,0.5856589203129277
Brighton and Hove,0.5539627425838147
County Durham,0.5294702416113184
East Riding of Yorkshire,0.5273091385843335
Hounslow,0.5165036234494086
Camden,0.5100203143684536
Hackney,0.5085795790171304
Wiltshire,0.5078592113414687
Lewisham,0.5035370052874988
Newcastle upon Tyne,0.5013759022605138
Brent,0.49561296085522055
Bromley,0.49489259317955886
Newham,0.4891296517742656
Cardiff,0.4884092840986039
Haringey,0.48264634269331064
Cheshire East,0.47904450431500234
Wakefield,0.47760376896367907
Enfield,0.4768834012880174
"Kingston upon Hull, City of",0.47616303361235573
Stoke-on-Trent,0.47400193058537077
Kensington and Chelsea,0.47040009220706247
Milton Keynes,0.47040009220706247
Coventry,0.4675186215044158
Plymouth,0.46319641545044593
Rotherham,0.46103531242346096
Hillingdon,0.45887420939647594
Greenwich,0.4437464882075811
Redbridge,0.44230575285625784
Islington,0.44158538518059615
Sandwell,0.4329409730726563
Havering,0.4329409730726563
Warrington,0.42141509026206975
Peterborough,0.41781325188376145
Derby,0.41421141350545315
Sunderland,0.41421141350545315
Hammersmith and Fulham,0.4120503104784682
Cheshire West and Chester,0.4062873690731749
Waltham Forest,0.4055670013975133
Wirral,0.39764295696523505
Swansea,0.39692258928957336
Northumberland,0.39332075091126506
Medway,0.3918800155599418
Gateshead,0.38683744183031016
Guildford,0.3817948681006786
Bolton,0.3810745004250169
Wolverhampton,0.3796337650736936
Dudley,0.37675229437104696
Southampton,0.3753115590197237
Portsmouth,0.3695486176144304
North Lanarkshire,0.3681078822631071
Sefton,0.3580227348038439
South Gloucestershire,0.3522597933985506
Barnsley,0.3522597933985506
South Lanarkshire,0.3486579550202423
Walsall,0.3486579550202423
Harrogate,0.34577648431759567
Preston,0.33569133685833247
Bournemouth,0.3342506015070092
North Lincolnshire,0.33353023383134756
Swindon,0.33280986615568586
Wigan,0.3263265570747309
Maidstone,0.32272471869642266
Shropshire,0.32272471869642266
Fife,0.32056361566943764
East Lindsey,0.31912288031811437
Wealden,0.31768214496679104
Central Bedfordshire,0.31552104193980607
Huntingdonshire,0.31119883588583613
Luton,0.3097581005345128
Epping Forest,0.30903773285885117
Carmarthenshire,0.30831736518318953
Highland,0.30831736518318953
Blackpool,0.30759699750752784
"Herefordshire, County of",0.3032747914535579
Calderdale,0.30255442377789626
New Forest,0.30255442377789626
Reigate and Banstead,0.30111368842657293
Powys,0.2996729530752496
York,0.2996729530752496
Merton,0.29895258539958797
North Somerset,0.29823221772392633
Salford,0.2953507470212796
Dartford,0.2931896439942947
Barking and Dagenham,0.29174890864297137
North East Lincolnshire,0.29030817329164804
Aberdeenshire,0.28742670258900144
North Tyneside,0.28670633491333974
Blackburn with Darwen,0.28382486421069314
Thurrock,0.2816637611837082
St. Albans,0.2816637611837082
Aylesbury Vale,0.28022302583238484
South Cambridgeshire,0.27878229048106157
Bexley,0.27734155512973824
Harrow,0.27734155512973824
Stafford,0.2751804521027532
Wycombe,0.2744600844270916
Stockport,0.2744600844270916
Windsor and Maidenhead,0.2730193490757683
Cherwell,0.2722989814001066
Lancaster,0.2722989814001066
Winchester,0.2708582460487833
Northampton,0.27013787837312164
Richmond upon Thames,0.26941751069746
Southend-on-Sea,0.26869714302179837
Bedford,0.26869714302179837
Thanet,0.2679767753461367
Solihull,0.26725640767047504
Slough,0.26509530464349
Oldham,0.26365456929216674
Elmbridge,0.2622138339408434
Canterbury,0.2600527309138584
Chelmsford,0.2586119955625351
Basildon,0.2586119955625351
Waverley,0.2578916278868735
Colchester,0.2571712602112118
"Rhondda, Cynon, Taff",0.2571712602112118
Oxford,0.25573052485988845
Runnymede,0.25573052485988845
